cluster_id,count
Adult,374
Autos_and_Vehicles,141
Comedy,427
Education,786
Entertainment,3775
Film_and_Animation,1392
Gaming,685
Howto_and_Style,575
Movies,10
Music,17365
News_and_Politics,213
No_Category_Found,2543
Nonprofits_and_Activism,72
People_and_Blogs,4546
Pets_and_Animals,72
Science_and_Technology,256
Shows,28
Sports,443
Trailers,6
Travel_and_Events,263
